TERM_CODE,CRN,PART_TERM,NO_STUDENTS,AVG_MARK,MARK_100_80,MARK_79_70,MARK_69_60,MARK_59_50,MARK_49_40,MARK_39_25,MARK_24_0,ASSESS_EXAM,ASSESS_CRSE,ASSESS_OTHER
201213,10390,S1,154, 62.37,    .65,  23.38,  48.70,  20.13,   3.25,    .00,   3.90,  10.00,  75.00,  15.00
201213,10392,S1,163, 67.22,   9.82,  36.81,  33.74,  15.34,   1.84,    .00,   2.45,    .00,  75.00,  25.00
201213,10393,S2,143, 59.03,    .70,  14.69,  37.76,  31.47,  11.89,   1.40,   2.10,  12.50,  75.00,  12.50
201213,10394,S2,78, 59.46,    .00,   5.13,  56.41,  30.77,   3.85,   1.28,   2.56,  25.00,  75.00,    .00
201213,10398,S1,34, 63.91,   2.94,  26.47,  38.24,  26.47,   5.88,    .00,    .00,  25.00,  75.00,    .00
201213,10400,S1,33, 63.97,    .00,  30.30,  45.45,  15.15,   9.09,    .00,    .00,  25.00,  75.00,    .00
201213,10403,S2,24, 67.21,   8.33,  33.33,  29.17,  29.17,    .00,    .00,    .00,  25.00,  75.00,    .00
201213,10407,S2,42, 66.64,    .00,  26.19,  66.67,   4.76,   2.38,    .00,    .00, 100.00,    .00,    .00
201213,10409,S1,35, 57.66,    .00,   5.71,  40.00,  37.14,  11.43,   5.71,    .00,    .00, 100.00,    .00
201213,10410,S2,57, 59.53,    .00,  19.30,  35.09,  26.32,  17.54,   1.75,    .00,    .00, 100.00,    .00
201213,10411,S1,152, 56.71,    .66,   9.21,  31.58,  36.84,  19.08,   1.97,    .66,    .00, 100.00,    .00
201213,10412,S1,36, 63.00,   2.78,  19.44,  44.44,  27.78,   5.56,    .00,    .00,    .00, 100.00,    .00
201213,10414,S2,63, 55.41,   1.59,   7.94,  31.75,  28.57,  15.87,  14.29,    .00,    .00, 100.00,    .00
201213,10415,S2,44, 67.52,   9.09,  25.00,  52.27,  11.36,   2.27,    .00,    .00,    .00, 100.00,    .00
201213,10417,S2,26, 61.77,   3.85,  11.54,  57.69,  11.54,  15.38,    .00,    .00,    .00, 100.00,    .00
201213,10418,S1,91, 55.59,    .00,  16.48,  32.97,  19.78,  17.58,  12.09,   1.10,    .00, 100.00,    .00
201213,10422,S2,58, 61.09,    .00,  12.07,  50.00,  27.59,   8.62,   1.72,    .00,    .00, 100.00,    .00
